_id,mname,tag,mlength,releaseday,isSequel,type,region,distributor,boxoffice_tot,boxoffice_pm,boxoffice_1std,boxoffice_1stw,boxoffice_1stwk
659757,速度与激情8,动作 犯罪,136,2017/4/14,1,3D IMAX 2D,美国,中影 华夏,2670000000,62700000,417000000,1350000000,872000000
660460,指甲刀人魔,爱情 奇幻 喜剧,100,2017/4/14,0,2D,中国/中国香港,喀什嘉映 伊犁卓然影业 娱跃影业,4500000,1000,1400000,3210000,1810000
654821,怨灵宿舍之人偶老师,惊悚 恐怖,84,2017/4/14,0,2D,中国,东阳四月天,1210000,4000,125000,356000,228000
656367,爱情冻住了,喜剧 爱情,95,2017/4/14,0,2D,中国台湾,中影,528000,48000,173000,363000,143000
638811,傲娇与偏见,爱情 喜剧,108,2017/4/20,0,2D,中国,淘票票 中联华盟 横店影视娱乐...,124000000,1560000,10600000,67800000,43400000
659760,蓝精灵：寻找神秘村,动画 喜剧 奇幻 冒险,90,2017/4/21,0,3D,美国,中影 华夏,174000000,38000,14100000,77600000,63500000
641928,血狼犬,剧情 动作 冒险,90,2017/4/21,0,2D,中国,西影集团,25200000,64000,3480000,12800000,9300000
631024,神秘家族,惊悚 悬疑,122,2017/4/21,0,2D,中国,福建恒业,14900000,19000,4870000,11300000,6380000
655935,窦娥奇冤,剧情 动作 悬疑,93,2017/4/21,0,2D,中国,基点影视,4470000,32000,1380000,2970000,1560000
642970,和田玉传奇,剧情 冒险,94,2017/4/25,0,2D,中国,热血游族,5540000,,209000,666000,93000
628157,喜欢你,爱情 喜剧,107,2017/4/27,0,2D,中国,联瑞影业 我们亚博思 喀什嘉映...,211000000,13800000,17000000,118000000,63600000
657278,午夜惊魂路,惊悚 恐怖,80,2017/4/27,0,2D,中国,光映影视 小山影视,2330000,,124000,934000,563000
660393,拆弹专家,动作 悬疑 犯罪,120,2017/4/28,0,2D,中国/中国香港,霍尔果斯博纳 寰宇纵横世纪发行 华夏...,400000000,1160000,47400000,182000000,133000000
644001,记忆大师,剧情 悬疑 犯罪,119,2017/4/28,0,IMAX 2D,中国,五洲电影 华夏,293000000,1150000,45500000,158000000,111000000
644667,春娇救志明,爱情 喜剧,117,2017/4/28,1,2D,中国/中国香港,青春光线 光线影业 华夏,176000000,7290000,29900000,91500000,59800000
637401,灵狼传奇,动画 冒险,88,2017/4/29,0,3D 2D,俄罗斯,中影 华夏,11500000,7000,2680000,5590000,5580000
659327,摔跤吧！爸爸,喜剧 运动 剧情 传记,140,2017/5/5,0,2D,印度,中影 华夏,1300000000,426000,15800000,86900000,71000000
644133,银河护卫队2,科幻 动作,136,2017/5/5,1,3D IMAX 2D,美国,中影 华夏,686000000,6360000,98600000,343000000,238000000
658346,麻烦家族,喜剧 亲情,103,2017/5/11,0,2D,中国,猫眼文化,32300000,94000,8450000,27200000,11500000
628794,以爱为名,爱情 剧情,88,2017/5/12,0,2D,中国,影联传媒 大唐国际,8720000,12000,684000,1100000,402000
